// positions          // normals           // texture coords
    -0.053543f, 0.175174f, -0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 0.947754f,
    -0.006764f, 0.093395f, 0.050616f,  -1.000000f, -0.000000f, -0.000000f,  0.063855f, 0.091153f,
    -0.006764f, 0.146055f, 0.021404f,  -1.000000f, -0.000000f, -0.000000f,  0.053012f, 0.140751f,
    -0.006764f, 0.093395f, 0.037087f,  -1.000000f, -0.000000f, -0.000000f,  0.053012f, 0.095174f,
    -0.025000f, 0.060713f, -0.030000f,  1.000000f, -0.000000f, -0.000000f,  0.438656f, 0.029130f,
    -0.025000f, 0.150410f, -0.030000f,  1.000000f, -0.000000f, -0.000000f,  0.438656f, 0.343264f,
    -0.025000f, 0.150410f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.547914f, 0.343264f,
    -0.025000f, 0.060713f, -0.030000f,  1.000000f, -0.000000f, -0.000000f,  0.438656f, 0.029130f,
    -0.025000f, 0.150410f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.547914f, 0.343264f,
    -0.025000f, 0.060713f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.547914f, 0.029130f,
    0.000000f, 0.150410f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.048193f, 0.028150f,
    0.000000f, 0.220000f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.048193f, 0.057641f,
    -0.050000f, 0.220000f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.028916f, 0.057641f,
    0.000000f, 0.150410f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.048193f, 0.028150f,
    -0.050000f, 0.220000f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.028916f, 0.057641f,
    -0.050000f, 0.150410f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.028916f, 0.028150f,
    -0.050000f, 0.150410f, -0.050000f,  1.000000f, -0.000000f, -0.000000f,  0.323152f, 0.784153f,
    -0.050000f, 0.220000f, -0.050000f,  1.000000f, -0.000000f, -0.000000f,  0.323152f, 0.995727f,
    -0.050000f, 0.220000f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.171137f, 0.995727f,
    -0.050000f, 0.150410f, -0.050000f,  1.000000f, -0.000000f, -0.000000f,  0.323152f, 0.784153f,
    -0.050000f, 0.220000f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.171137f, 0.995727f,
    -0.050000f, 0.150410f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.171137f, 0.784153f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.850984f, 0.125730f,
    0.000000f, 0.150410f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.850984f, 0.228094f,
    -0.025000f, 0.150410f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.822454f, 0.228094f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.850984f, 0.125730f,
    -0.025000f, 0.150410f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.822454f, 0.228094f,
    -0.025000f, 0.060713f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.822454f, 0.125730f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.317161f, 0.499505f,
    -0.008717f, -0.000000f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.306554f, 0.499505f,
    -0.008717f, -0.000000f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.306554f, 0.481536f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.317161f, 0.499505f,
    -0.008717f, -0.000000f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.306554f, 0.481536f,
    0.000000f, -0.000000f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.317161f, 0.481968f,
    -0.050000f, 0.220000f, -0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.072289f, 0.091153f,
    0.000000f, 0.220000f, -0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.072289f, 0.052279f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.112048f, 0.052279f,
    -0.050000f, 0.220000f, -0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.072289f, 0.091153f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.112048f, 0.052279f,
    -0.050000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.112048f, 0.091153f,
    -0.025000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.008434f, 0.115281f,
    -0.050000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.019277f, 0.107239f,
    -0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.019277f, 0.128686f,
    -0.025000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.008434f, 0.115281f,
    -0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.019277f, 0.128686f,
    -0.025000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.008434f, 0.128686f,
    0.000000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.016867f, 0.128686f,
    0.000000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.026506f, 0.128686f,
    -0.050000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.026506f, 0.150134f,
    0.000000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.016867f, 0.128686f,
    -0.050000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.026506f, 0.150134f,
    -0.025000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.016867f, 0.139410f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.559829f, 0.421354f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.559829f, 0.518194f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.545924f, 0.518194f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.559829f, 0.421354f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.545924f, 0.518194f,
    -0.008717f, -0.000000f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.545924f, 0.421354f,
    -0.008717f, -0.000000f, -0.023655f,  1.000000f, -0.000000f, -0.000000f,  0.520521f, 0.421354f,
    -0.008717f, 0.060713f, -0.023655f,  1.000000f, -0.000000f, -0.000000f,  0.520521f, 0.518194f,
    -0.008717f, 0.060713f, -0.008888f,  1.000000f, -0.000000f, -0.000000f,  0.496967f, 0.518194f,
    -0.008717f, -0.000000f, -0.023655f,  1.000000f, -0.000000f, -0.000000f,  0.520521f, 0.421354f,
    -0.008717f, 0.060713f, -0.008888f,  1.000000f, -0.000000f, -0.000000f,  0.496967f, 0.518194f,
    -0.008717f, -0.000000f, -0.008888f,  1.000000f, -0.000000f, -0.000000f,  0.496967f, 0.421354f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.930113f, 0.028162f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.938024f, 0.028162f,
    -0.025000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.938024f, 0.059334f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.930113f, 0.028162f,
    -0.025000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.938024f, 0.059334f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.930113f, 0.039032f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.937722f, 0.078626f,
    -0.025000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.958025f, 0.070714f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.958025f, 0.108122f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.937722f, 0.078626f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.958025f, 0.108122f,
    -0.008717f, 0.060713f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.937722f, 0.097040f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.940356f, 0.059244f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.940356f, 0.041274f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.951225f, 0.041274f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.940356f, 0.059244f,
    -0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.951225f, 0.041274f,
    -0.008717f, 0.060713f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.951225f, 0.059687f,
    -0.008717f, 0.060713f, -0.008888f,  -0.040700f, -0.000000f, -0.999200f,  0.473734f, 0.534021f,
    0.000000f, 0.060713f, -0.009243f,  -0.040700f, -0.000000f, -0.999200f,  0.459818f, 0.534021f,
    0.000000f, -0.000000f, -0.009243f,  -0.040700f, -0.000000f, -0.999200f,  0.459818f, 0.437181f,
    -0.008717f, 0.060713f, -0.008888f,  -0.040700f, -0.000000f, -0.999200f,  0.473734f, 0.534021f,
    0.000000f, -0.000000f, -0.009243f,  -0.040700f, -0.000000f, -0.999200f,  0.459818f, 0.437181f,
    -0.008717f, -0.000000f, -0.008888f,  -0.040700f, -0.000000f, -0.999200f,  0.473734f, 0.437181f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.936741f, 0.088341f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.936741f, 0.125749f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.905569f, 0.125749f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.936741f, 0.088341f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.905569f, 0.125749f,
    -0.025000f, 0.060713f, -0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.905569f, 0.088341f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.905619f, 0.059334f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.905619f, 0.028162f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.917143f, 0.028162f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.905619f, 0.059334f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.917143f, 0.028162f,
    -0.008717f, 0.060713f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.916700f, 0.039032f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.898576f, 0.063626f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.898576f, 0.026199f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.898715f, 0.052095f,
    0.025000f, 0.060713f, -0.030000f,  -1.000000f, -0.000000f, -0.000000f,  0.490137f, 0.019527f,
    0.025000f, 0.060713f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.518427f, 0.019527f,
    0.025000f, 0.150410f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.518427f, 0.104111f,
    0.025000f, 0.060713f, -0.030000f,  -1.000000f, -0.000000f, -0.000000f,  0.490137f, 0.019527f,
    0.025000f, 0.150410f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.518427f, 0.104111f,
    0.025000f, 0.150410f, -0.030000f,  -1.000000f, -0.000000f, -0.000000f,  0.490137f, 0.104111f,
    0.000000f, 0.150410f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.008434f, 0.028150f,
    0.050000f, 0.150410f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.027711f, 0.028150f,
    0.050000f, 0.220000f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.027711f, 0.057641f,
    0.000000f, 0.150410f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.008434f, 0.028150f,
    0.050000f, 0.220000f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.027711f, 0.057641f,
    0.000000f, 0.220000f, -0.050000f,  -0.000000f, -0.000000f, 1.000000f,  0.008434f, 0.057641f,
    0.050000f, 0.150410f, -0.050000f,  -1.000000f, -0.000000f, -0.000000f,  0.009639f, 0.010724f,
    0.050000f, 0.150410f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.030120f, 0.010724f,
    0.050000f, 0.220000f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.030120f, 0.038874f,
    0.050000f, 0.150410f, -0.050000f,  -1.000000f, -0.000000f, -0.000000f,  0.009639f, 0.010724f,
    0.050000f, 0.220000f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.030120f, 0.038874f,
    0.050000f, 0.220000f, -0.050000f,  -1.000000f, -0.000000f, -0.000000f,  0.009639f, 0.038874f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.962046f, 0.022704f,
    0.025000f, 0.060713f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.990576f, 0.022704f,
    0.025000f, 0.150410f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.990576f, 0.125069f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.962046f, 0.022704f,
    0.025000f, 0.150410f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.990576f, 0.125069f,
    0.000000f, 0.150410f, -0.030000f,  -0.000000f, -0.000000f, 1.000000f,  0.962046f, 0.125069f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.317294f, 0.482625f,
    0.000000f, -0.000000f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.317294f, 0.500163f,
    0.008717f, -0.000000f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.306687f, 0.500595f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.317294f, 0.482625f,
    0.008717f, -0.000000f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.306687f, 0.500595f,
    0.008717f, -0.000000f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.306687f, 0.482625f,
    0.050000f, 0.220000f, -0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.069880f, 0.024129f,
    0.050000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.109639f, 0.024129f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.109639f, 0.063003f,
    0.050000f, 0.220000f, -0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.069880f, 0.024129f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.109639f, 0.063003f,
    0.000000f, 0.220000f, -0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.069880f, 0.063003f,
    0.025000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.014458f, 0.095174f,
    0.025000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.014458f, 0.083110f,
    0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.025301f, 0.083110f,
    0.025000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.014458f, 0.095174f,
    0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.025301f, 0.083110f,
    0.050000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.025301f, 0.104558f,
    0.000000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.027711f, 0.107239f,
    0.025000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.027711f, 0.117962f,
    0.050000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.019277f, 0.128686f,
    0.000000f, 0.150410f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.027711f, 0.107239f,
    0.050000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.019277f, 0.128686f,
    0.000000f, 0.150410f, -0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.019277f, 0.107239f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.551126f, 0.533276f,
    0.008717f, -0.000000f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.565030f, 0.533276f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.565030f, 0.630116f,
    0.000000f, -0.000000f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.551126f, 0.533276f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.565030f, 0.630116f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, -0.000000f, 1.000000f,  0.551126f, 0.630116f,
    0.008717f, -0.000000f, -0.023655f,  -1.000000f, -0.000000f, -0.000000f,  0.578074f, 0.537113f,
    0.008717f, -0.000000f, -0.008888f,  -1.000000f, -0.000000f, -0.000000f,  0.601629f, 0.537113f,
    0.008717f, 0.060713f, -0.008888f,  -1.000000f, -0.000000f, -0.000000f,  0.601629f, 0.633952f,
    0.008717f, -0.000000f, -0.023655f,  -1.000000f, -0.000000f, -0.000000f,  0.578074f, 0.537113f,
    0.008717f, 0.060713f, -0.008888f,  -1.000000f, -0.000000f, -0.000000f,  0.601629f, 0.633952f,
    0.008717f, 0.060713f, -0.023655f,  -1.000000f, -0.000000f, -0.000000f,  0.578074f, 0.633952f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.938747f, 0.059334f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.938747f, 0.048465f,
    0.025000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.946659f, 0.028162f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.938747f, 0.059334f,
    0.025000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.946659f, 0.028162f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.946659f, 0.059334f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.936999f, 0.078626f,
    0.008717f, 0.060713f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.936999f, 0.097040f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.916696f, 0.108122f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.936999f, 0.078626f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.916696f, 0.108122f,
    0.025000f, 0.060713f, -0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.916696f, 0.070714f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.951225f, 0.097516f,
    0.008717f, 0.060713f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.940356f, 0.097959f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.940356f, 0.079546f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.951225f, 0.097516f,
    0.008717f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.940356f, 0.079546f,
    0.000000f, 0.060713f, -0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.951225f, 0.079546f,
    0.008717f, 0.060713f, -0.008888f,  0.040700f, -0.000000f, -0.999200f,  0.536285f, 0.630116f,
    0.008717f, -0.000000f, -0.008888f,  0.040700f, -0.000000f, -0.999200f,  0.536285f, 0.533276f,
    0.000000f, -0.000000f, -0.009243f,  0.040700f, -0.000000f, -0.999200f,  0.550201f, 0.533276f,
    0.008717f, 0.060713f, -0.008888f,  0.040700f, -0.000000f, -0.999200f,  0.536285f, 0.630116f,
    0.000000f, -0.000000f, -0.009243f,  0.040700f, -0.000000f, -0.999200f,  0.550201f, 0.533276f,
    0.000000f, 0.060713f, -0.009243f,  0.040700f, -0.000000f, -0.999200f,  0.550201f, 0.630116f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.944494f, 0.090779f,
    0.025000f, 0.060713f, -0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.975666f, 0.090779f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.975666f, 0.128186f,
    0.000000f, 0.060713f, -0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.944494f, 0.090779f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.975666f, 0.128186f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.944494f, 0.128186f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.917866f, 0.028162f,
    0.008717f, 0.060713f, -0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.928948f, 0.048465f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.929390f, 0.059334f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.917866f, 0.028162f,
    0.000000f, 0.060713f, -0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.929390f, 0.059334f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.917866f, 0.059334f,
    -0.025000f, 0.060713f, 0.030000f,  1.000000f, -0.000000f, -0.000000f,  0.659282f, 0.029130f,
    -0.025000f, 0.060713f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.550024f, 0.029130f,
    -0.025000f, 0.150410f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.550024f, 0.343264f,
    -0.025000f, 0.060713f, 0.030000f,  1.000000f, -0.000000f, -0.000000f,  0.659282f, 0.029130f,
    -0.025000f, 0.150410f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.550024f, 0.343264f,
    -0.025000f, 0.150410f, 0.030000f,  1.000000f, -0.000000f, -0.000000f,  0.659282f, 0.343264f,
    0.000000f, 0.150410f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.005859f, 0.025391f,
    -0.050000f, 0.150410f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.026367f, 0.025391f,
    -0.050000f, 0.220000f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.026367f, 0.053223f,
    0.000000f, 0.150410f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.005859f, 0.025391f,
    -0.050000f, 0.220000f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.026367f, 0.053223f,
    0.000000f, 0.220000f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.005859f, 0.053223f,
    -0.050000f, 0.150410f, 0.050000f,  1.000000f, -0.000000f, -0.000000f,  0.019121f, 0.784154f,
    -0.050000f, 0.150410f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.171136f, 0.784154f,
    -0.050000f, 0.220000f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.171136f, 0.995727f,
    -0.050000f, 0.150410f, 0.050000f,  1.000000f, -0.000000f, -0.000000f,  0.019121f, 0.784154f,
    -0.050000f, 0.220000f, 0.000000f,  1.000000f, -0.000000f, -0.000000f,  0.171136f, 0.995727f,
    -0.050000f, 0.220000f, 0.050000f,  1.000000f, -0.000000f, -0.000000f,  0.019121f, 0.995727f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.793262f, 0.125730f,
    -0.025000f, 0.060713f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.821792f, 0.125730f,
    -0.025000f, 0.150410f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.821792f, 0.228094f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.793262f, 0.125730f,
    -0.025000f, 0.150410f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.821792f, 0.228094f,
    0.000000f, 0.150410f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.793262f, 0.228094f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.306949f, 0.499717f,
    0.000000f, -0.000000f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.306949f, 0.482180f,
    -0.008717f, -0.000000f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.317557f, 0.481748f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.306949f, 0.499717f,
    -0.008717f, -0.000000f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.317557f, 0.481748f,
    -0.008717f, -0.000000f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.317557f, 0.499717f,
    -0.050000f, 0.220000f, 0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.069880f, 0.063003f,
    -0.050000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.109639f, 0.063003f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.112048f, 0.052279f,
    -0.050000f, 0.220000f, 0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.069880f, 0.063003f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.112048f, 0.052279f,
    0.000000f, 0.220000f, 0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.072289f, 0.052279f,
    -0.025000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.024096f, 0.061662f,
    -0.025000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.024096f, 0.073727f,
    -0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.013253f, 0.073727f,
    -0.025000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.024096f, 0.061662f,
    -0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.013253f, 0.073727f,
